match_id,season,match_datetime_utc,match_outcome_code,outcome_id,home_goal_diff_last_3,home_xg_diff_last_3,home_points_last_3,home_points_pct_last_3,home_rest_days_capped,away_goal_diff_last_3,away_xg_diff_last_3,away_points_last_3,away_points_pct_last_3,away_rest_days_capped,form_pct_diff_last5,form_diff_last5,rest_diff,rest_reset_flag_pair,match_day_index,match_day_of_year_norm,match_weekday_index,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18236,2022,2022-08-27 14:00:00,H,2,-1.0,1.16954,2.0,0.2222222222222222,7.0,-5.0,-2.966723,3.0,0.3333333333333333,7.104166666666667,-0.1111111111111111,-1.0,-0.1041666666666669,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18233,2022,2022-08-27 14:00:00,D,1,3.0,-0.3386359999999999,4.0,0.4444444444444444,6.895833333333333,-2.0,-2.157292,1.0,0.1111111111111111,7.104166666666667,0.3333333333333333,3.0,-0.2083333333333339,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18237,2022,2022-08-27 14:00:00,H,2,6.0,5.369016,7.0,0.7777777777777778,8.0625,0.0,1.2866219999999997,4.0,0.4444444444444444,4.791666666666667,0.3333333333333333,3.0,3.270833333333333,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18235,2022,2022-08-27 14:00:00,H,2,-2.0,0.1163190000000002,4.0,0.4444444444444444,6.895833333333333,-3.0,-3.793995,1.0,0.1111111111111111,7.0,0.3333333333333333,3.0,-0.1041666666666669,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18238,2022,2022-08-27 16:30:00,H,2,7.0,4.049135999999999,9.0,1.0,7.104166666666667,1.0,0.3456849999999999,5.0,0.5555555555555556,7.0,0.4444444444444444,4.0,0.1041666666666669,0,22.0,0.6530054644808743,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18239,2022,2022-08-28 13:00:00,A,0,-3.0,-0.9150979999999996,3.0,0.3333333333333333,7.104166666666667,-5.0,-3.284378,0.0,0.0,7.0,0.3333333333333333,3.0,0.1041666666666669,0,23.0,0.6557377049180327,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18240,2022,2022-08-28 13:00:00,D,1,-2.0,-0.6806920000000002,1.0,0.1111111111111111,6.895833333333333,2.0,-1.2622430000000002,5.0,0.5555555555555556,8.0625,-0.4444444444444445,-4.0,-1.166666666666667,0,23.0,0.6557377049180327,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18241,2022,2022-08-28 15:30:00,A,0,-1.0,-2.25368,4.0,0.4444444444444444,6.041666666666667,4.0,1.758241,7.0,0.7777777777777778,5.833333333333333,-0.3333333333333333,-3.0,0.2083333333333339,0,23.0,0.6557377049180327,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18242,2022,2022-08-30 18:30:00,H,2,0.0,-0.129688,4.0,0.4444444444444444,7.104166666666667,3.0,2.9433339999999997,7.0,0.7777777777777778,6.041666666666667,-0.4166666666666667,-5.0,1.0625,0,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18243,2022,2022-08-30 18:30:00,D,1,0.0,-0.7770620000000006,4.0,0.4444444444444444,7.0,3.0,-0.1847479999999997,4.0,0.4444444444444444,7.0,-0.0833333333333333,-1.0,0.0,0,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
