,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Brajan Gruda,"€ 56,619","€ 2,944,177","€ 2,944,177",F,20,Germany,Brighton
Kenny Tete,"€ 56,619","€ 2,944,177","€ 2,944,177",D,29,Netherlands,Fulham
Jan Paul van Hecke,"€ 56,619","€ 2,944,177","€ 2,944,177",D,24,Netherlands,Brighton
Solly March,"€ 56,619","€ 2,944,177","€ 2,944,177",F,30,England,Brighton
Trevoh Chalobah,"€ 56,619","€ 2,944,177","€ 2,944,177",D,25,England,Chelsea
Harrison Reed,"€ 56,619","€ 2,944,177","€ 2,944,177",M,30,England,Fulham
Abdukodir Khusanov,"€ 56,619","€ 2,944,177","€ 2,944,177",D,20,Uzbekistan,Manchester City
Antonee Robinson,"€ 56,619","€ 2,944,177","€ 2,944,177",D,27,United States,Fulham
Andreas Pereira,"€ 56,619","€ 2,944,177","€ 2,944,177",F,29,Brazil,Fulham
João Pedro,"€ 56,619","€ 2,944,177","€ 2,944,177",F,23,Brazil,Brighton
Pervis Estupiñán,"€ 56,619","€ 2,944,177","€ 2,944,177",D,27,Ecuador,Brighton
Jesper Lindstrøm,"€ 56,619","€ 2,944,177","€ 2,944,177",F,24,Denmark,Everton
Joël Veltman,"€ 56,619","€ 2,944,177","€ 2,944,177",D,33,Netherlands,Brighton
Noni Madueke,"€ 56,619","€ 2,944,177","€ 2,944,177",F,22,England,Chelsea
Orel Mangala,"€ 56,619","€ 2,944,177","€ 2,944,177",M,26,Belgium,Everton
Neto,"€ 56,619","€ 2,944,177","€ 2,944,177",K,35,Brazil,Arsenal
Jérémy Doku,"€ 56,619","€ 2,944,177","€ 2,944,177",F,22,Belgium,Manchester City
Matt Doherty,"€ 56,619","€ 2,944,177","€ 2,944,177",D,33,Ireland,Wolverhampton
Wout Faes,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,Belgium,Leicester
Filip Jørgensen,"€ 56,619","€ 2,944,177","€ 2,944,177",K,22,Denmark,Chelsea
Neco Williams,"€ 56,619","€ 2,944,177","€ 2,944,177",D,23,Wales,Nottingham Forest
Tino Livramento,"€ 56,619","€ 2,944,177","€ 2,944,177",D,22,England,Newcastle
Robin Olsen,"€ 56,619","€ 2,944,177","€ 2,944,177",K,35,Sweden,Aston Villa
Jean-Philippe Mateta,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,France,Crystal Palace
Oliver Skipp,"€ 56,619","€ 2,944,177","€ 2,944,177",M,24,England,Leicester
Matt O'Riley,"€ 56,619","€ 2,944,177","€ 2,944,177",M,24,Denmark,Brighton
Callum Wilson,"€ 52,089","€ 2,708,643","€ 2,708,643",F,32,England,Newcastle
Jamal Lewis,"€ 50,957","€ 2,649,760","€ 2,649,760",D,27,Northern Ireland,Newcastle
Malo Gusto,"€ 50,957","€ 2,649,760","€ 2,649,760",D,21,France,Chelsea
Adam Lallana,"€ 50,957","€ 2,649,760","€ 2,649,760",F,36,England,Southampton
Iliman Ndiaye,"€ 50,957","€ 2,649,760","€ 2,649,760",F,24,Senegal,Everton
Jack Stephens,"€ 50,957","€ 2,649,760","€ 2,649,760",D,31,England,Southampton
Lesley Ugochukwu,"€ 50,957","€ 2,649,760","€ 2,649,760",M,20,France,Southampton
Calvin Bassey,"€ 50,957","€ 2,649,760","€ 2,649,760",D,25,Nigeria,Fulham
Igor,"€ 50,957","€ 2,649,760","€ 2,649,760",D,26,Brazil,Brighton
Tom Heaton,"€ 50,957","€ 2,649,760","€ 2,649,760",K,39,England,Manchester United
Ryan Sessegnon,"€ 50,957","€ 2,649,760","€ 2,649,760",D,24,England,Fulham
Bryan Mbeumo,"€ 50,957","€ 2,649,760","€ 2,649,760",F,25,Cameroon,Brentford
Crysencio Summerville,"€ 50,957","€ 2,649,760","€ 2,649,760",F,23,Netherlands,West Ham
Maxwel Cornet,"€ 50,957","€ 2,649,760","€ 2,649,760",F,28,Cote d'Ivoire,West Ham
Craig Dawson,"€ 50,957","€ 2,649,760","€ 2,649,760",D,34,England,Wolverhampton
Mario Lemina,"€ 50,957","€ 2,649,760","€ 2,649,760",M,31,Gabon,Wolverhampton
Roméo Lavia,"€ 50,957","€ 2,649,760","€ 2,649,760",M,21,Belgium,Chelsea
Alex Scott,"€ 45,295","€ 2,355,342","€ 2,355,342",M,21,England,Bournemouth
Tyrick Mitchell,"€ 45,295","€ 2,355,342","€ 2,355,342",D,25,England,Crystal Palace
Djed Spence,"€ 45,295","€ 2,355,342","€ 2,355,342",D,24,England,Tottenham
Willy Boly,"€ 45,295","€ 2,355,342","€ 2,355,342",D,34,Cote d'Ivoire,Nottingham Forest
Ryan Fraser,"€ 45,295","€ 2,355,342","€ 2,355,342",F,30,Scotland,Southampton
Fábio Carvalho,"€ 45,295","€ 2,355,342","€ 2,355,342",F,22,Portugal,Brentford
Yukinari Sugawara,"€ 45,295","€ 2,355,342","€ 2,355,342",D,24,Japan,Southampton
Danny Ward,"€ 45,295","€ 2,355,342","€ 2,355,342",K,31,Wales,Leicester
Christian Nørgaard,"€ 45,295","€ 2,355,342","€ 2,355,342",M,30,Denmark,Brentford
Carlos Vinícius,"€ 45,295","€ 2,355,342","€ 2,355,342",F,29,Brazil,Fulham
Sávio,"€ 45,295","€ 2,355,342","€ 2,355,342",F,20,Brazil,Manchester City
Axel Disasi,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,France,Chelsea
Martin Dubravka,"€ 45,295","€ 2,355,342","€ 2,355,342",K,36,Slovakia,Newcastle
Matheus França,"€ 45,295","€ 2,355,342","€ 2,355,342",F,20,Brazil,Crystal Palace
Patrick Dorgu,"€ 45,295","€ 2,355,342","€ 2,355,342",D,20,Denmark,Manchester United
Harry Souttar,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,Australia,Leicester
Jamaal Lascelles,"€ 45,295","€ 2,355,342","€ 2,355,342",D,31,England,Newcastle
Kamaldeen Sulemana,"€ 45,295","€ 2,355,342","€ 2,355,342",F,22,Ghana,Southampton
Vitor Reis,"€ 45,295","€ 2,355,342","€ 2,355,342",D,19,Brazil,Manchester City
Matt Turner,"€ 45,295","€ 2,355,342","€ 2,355,342",K,30,United States,Crystal Palace
Gabriel Slonina,"€ 45,295","€ 2,355,342","€ 2,355,342",K,20,United States,Chelsea
Jaden Philogene-Bidace,"€ 45,295","€ 2,355,342","€ 2,355,342",F,22,England,Aston Villa
Elliot Anderson,"€ 45,295","€ 2,355,342","€ 2,355,342",M,22,England,Nottingham Forest
Santiago Bueno,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,Uruguay,Wolverhampton
Cameron Archer,"€ 45,295","€ 2,355,342","€ 2,355,342",F,23,England,Southampton
Axel Tuanzebe,"€ 45,295","€ 2,355,342","€ 2,355,342",D,27,Democratic Republic of the Congo,Ipswich Town
Alex McCarthy,"€ 45,295","€ 2,355,342","€ 2,355,342",K,35,England,Southampton
Harvey Elliott,"€ 45,295","€ 2,355,342","€ 2,355,342",M,21,England,Liverpool
Adam Smith,"€ 45,295","€ 2,355,342","€ 2,355,342",D,33,England,Bournemouth
Ashley Young,"€ 45,295","€ 2,355,342","€ 2,355,342",D,39,England,Everton
Armando Broja,"€ 45,295","€ 2,355,342","€ 2,355,342",F,23,Albania,Everton
Ola Aina,"€ 45,295","€ 2,355,342","€ 2,355,342",D,28,Nigeria,Nottingham Forest
Kristoffer Ajer,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,Norway,Brentford
Axel Disasi,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,France,Aston Villa
Yankuba Minteh,"€ 45,295","€ 2,355,342","€ 2,355,342",F,20,The Gambia,Brighton
Emiliano Buendía,"€ 42,464","€ 2,208,133","€ 2,208,133",F,28,Argentina,Aston Villa
Tyrell Malacia,"€ 42,464","€ 2,208,133","€ 2,208,133",D,25,Netherlands,Manchester United
Marcus Tavernier,"€ 39,633","€ 2,060,924","€ 2,060,924",M,25,England,Bournemouth
Harry Wilson,"€ 39,633","€ 2,060,924","€ 2,060,924",F,28,Wales,Fulham
Tariq Lamptey,"€ 39,633","€ 2,060,924","€ 2,060,924",D,24,Ghana,Brighton
Morato,"€ 39,633","€ 2,060,924","€ 2,060,924",D,23,Brazil,Nottingham Forest
Jacob Murphy,"€ 39,633","€ 2,060,924","€ 2,060,924",F,29,England,Newcastle
Bart Verbruggen,"€ 39,633","€ 2,060,924","€ 2,060,924",K,22,Netherlands,Brighton
Adam Wharton,"€ 39,633","€ 2,060,924","€ 2,060,924",M,20,England,Crystal Palace
Rico Henry,"€ 39,633","€ 2,060,924","€ 2,060,924",D,27,England,Brentford
Arijanet Muric,"€ 39,633","€ 2,060,924","€ 2,060,924",K,26,Kosovo,Ipswich Town
Mikkel Damsgaard,"€ 39,633","€ 2,060,924","€ 2,060,924",F,24,Denmark,Brentford
Wilson Odobert,"€ 39,633","€ 2,060,924","€ 2,060,924",F,20,France,Tottenham
Dara O'Shea,"€ 39,633","€ 2,060,924","€ 2,060,924",D,25,Ireland,Ipswich Town
Aarón Anselmino,"€ 39,633","€ 2,060,924","€ 2,060,924",D,19,Argentina,Chelsea
Lewis Hall,"€ 39,633","€ 2,060,924","€ 2,060,924",D,20,England,Newcastle
Jens Cajuste,"€ 39,633","€ 2,060,924","€ 2,060,924",M,25,Sweden,Ipswich Town
Matz Sels,"€ 39,633","€ 2,060,924","€ 2,060,924",K,32,Belgium,Nottingham Forest
Jake O'Brien,"€ 39,633","€ 2,060,924","€ 2,060,924",D,23,Ireland,Everton
Altay Bayındır,"€ 39,633","€ 2,060,924","€ 2,060,924",K,26,Turkey,Manchester United
Sasa Kalajdzic,"€ 39,633","€ 2,060,924","€ 2,060,924",F,27,Austria,Wolverhampton
Bilal El Khannouss,"€ 39,633","€ 2,060,924","€ 2,060,924",F,20,Morocco,Leicester
Bobby Reid,"€ 39,633","€ 2,060,924","€ 2,060,924",F,32,Jamaica,Leicester
Harry Toffolo,"€ 39,633","€ 2,060,924","€ 2,060,924",D,29,England,Nottingham Forest
Dango Ouattara,"€ 39,633","€ 2,060,924","€ 2,060,924",F,22,Burkina Faso,Bournemouth
Joel Ward,"€ 39,633","€ 2,060,924","€ 2,060,924",D,35,England,Crystal Palace
Vladimír Coufal,"€ 39,633","€ 2,060,924","€ 2,060,924",D,32,Czech Republic,West Ham
Nicolás Domínguez,"€ 39,633","€ 2,060,924","€ 2,060,924",M,26,Argentina,Nottingham Forest
Marcus Bettinelli,"€ 39,633","€ 2,060,924","€ 2,060,924",K,32,England,Chelsea
Leander Dendoncker,"€ 39,633","€ 2,060,924","€ 2,060,924",M,29,Belgium,Aston Villa
Álex Moreno,"€ 39,633","€ 2,060,924","€ 2,060,924",D,31,Spain,Nottingham Forest
Jarrad Branthwaite,"€ 39,633","€ 2,060,924","€ 2,060,924",D,22,England,Everton
Dean Huijsen,"€ 33,971","€ 1,766,506","€ 1,766,506",D,19,Spain,Bournemouth
Scott Carson,"€ 33,971","€ 1,766,506","€ 1,766,506",K,39,England,Manchester City
Chadi Riad,"€ 33,971","€ 1,766,506","€ 1,766,506",D,21,Morocco,Crystal Palace
Lewis Miley,"€ 33,971","€ 1,766,506","€ 1,766,506",M,18,England,Newcastle
Ethan Pinnock,"€ 33,971","€ 1,766,506","€ 1,766,506",D,31,Jamaica,Brentford
Ramón Sosa,"€ 33,971","€ 1,766,506","€ 1,766,506",F,25,Paraguay,Nottingham Forest
Youssef Chermiti,"€ 33,971","€ 1,766,506","€ 1,766,506",F,20,Portugal,Everton
Flynn Downes,"€ 33,971","€ 1,766,506","€ 1,766,506",M,26,England,Southampton
James Justin,"€ 33,971","€ 1,766,506","€ 1,766,506",D,26,England,Leicester
Joshua Da Silva,"€ 33,971","€ 1,766,506","€ 1,766,506",M,26,England,Brentford
Jarell Quansah,"€ 33,971","€ 1,766,506","€ 1,766,506",D,22,England,Liverpool
Jordan Ayew,"€ 33,971","€ 1,766,506","€ 1,766,506",F,33,Ghana,Leicester
Mark Flekken,"€ 33,971","€ 1,766,506","€ 1,766,506",K,31,Netherlands,Brentford
Michael Kayode,"€ 33,971","€ 1,766,506","€ 1,766,506",D,20,Italy,Brentford
Ben Johnson,"€ 33,971","€ 1,766,506","€ 1,766,506",D,25,England,Ipswich Town
Rayan Aït-Nouri,"€ 33,971","€ 1,766,506","€ 1,766,506",D,23,Algeria,Wolverhampton
Samuel Iling-Junior,"€ 33,971","€ 1,766,506","€ 1,766,506",F,21,England,Aston Villa
David Datro Fofana,"€ 33,971","€ 1,766,506","€ 1,766,506",F,22,Cote d'Ivoire,Chelsea
Charlie Taylor,"€ 33,971","€ 1,766,506","€ 1,766,506",D,31,England,Southampton
Yerson Mosquera,"€ 33,971","€ 1,766,506","€ 1,766,506",D,23,Colombia,Wolverhampton
James Garner,"€ 33,971","€ 1,766,506","€ 1,766,506",M,23,England,Everton
Paul Onuachu,"€ 33,971","€ 1,766,506","€ 1,766,506",F,30,Nigeria,Southampton
Nathan Collins,"€ 33,971","€ 1,766,506","€ 1,766,506",D,23,Ireland,Brentford
Fábio Silva,"€ 33,971","€ 1,766,506","€ 1,766,506",F,22,Portugal,Wolverhampton
Asmir Begovic,"€ 33,971","€ 1,766,506","€ 1,766,506",K,37,Bosnia-Herzegovina,Everton
Tom Cairney,"€ 33,971","€ 1,766,506","€ 1,766,506",M,34,Scotland,Fulham
Vitaly Janelt,"€ 33,971","€ 1,766,506","€ 1,766,506",M,26,Germany,Brentford
Samy Morsy,"€ 33,971","€ 1,766,506","€ 1,766,506",M,33,Egypt,Ipswich Town
Danilo,"€ 33,971","€ 1,766,506","€ 1,766,506",M,23,Brazil,Nottingham Forest
Adam Armstrong,"€ 33,971","€ 1,766,506","€ 1,766,506",F,27,England,Southampton
Milos Kerkez,"€ 33,971","€ 1,766,506","€ 1,766,506",D,21,Hungary,Bournemouth
Luis Guilherme,"€ 33,971","€ 1,766,506","€ 1,766,506",F,18,Brazil,West Ham
Nathan Patterson,"€ 31,707","€ 1,648,739","€ 1,648,739",D,23,Scotland,Everton
George Hirst,"€ 31,140","€ 1,619,298","€ 1,619,298",F,25,England,Ipswich Town
Evan Ferguson,"€ 31,140","€ 1,619,298","€ 1,619,298",F,20,Ireland,West Ham
Evan Ferguson,"€ 31,140","€ 1,619,298","€ 1,619,298",F,19,Ireland,Brighton
Kevin Danso,"€ 28,309","€ 1,472,089","€ 1,472,089",D,26,Austria,Tottenham
Julián Araujo,"€ 28,309","€ 1,472,089","€ 1,472,089",D,23,Mexico,Bournemouth
Gustavo Nunes,"€ 28,309","€ 1,472,089","€ 1,472,089",F,19,Brazil,Brentford
Yoane Wissa,"€ 28,309","€ 1,472,089","€ 1,472,089",F,28,Democratic Republic of the Congo,Brentford
Diego Gómez,"€ 28,309","€ 1,472,089","€ 1,472,089",M,21,Paraguay,Brighton
Djordje Petrovic,"€ 28,309","€ 1,472,089","€ 1,472,089",K,25,Serbia,Chelsea
Jeffrey Schlupp,"€ 28,309","€ 1,472,089","€ 1,472,089",M,32,Ghana,Crystal Palace
Dwight McNeil,"€ 28,309","€ 1,472,089","€ 1,472,089",F,25,England,Everton
Jorge Cuenca,"€ 28,309","€ 1,472,089","€ 1,472,089",D,25,Spain,Fulham
Chiedozie Ogbene,"€ 28,309","€ 1,472,089","€ 1,472,089",F,27,Ireland,Ipswich Town
Jack Clarke,"€ 28,309","€ 1,472,089","€ 1,472,089",F,24,England,Ipswich Town
Jacob Greaves,"€ 28,309","€ 1,472,089","€ 1,472,089",D,24,England,Ipswich Town
Jaden Philogene-Bidace,"€ 28,309","€ 1,472,089","€ 1,472,089",F,22,England,Ipswich Town
Leif Davis,"€ 28,309","€ 1,472,089","€ 1,472,089",D,25,England,Ipswich Town
Sammie Szmodics,"€ 28,309","€ 1,472,089","€ 1,472,089",F,29,Ireland,Ipswich Town
Caleb Okoli,"€ 28,309","€ 1,472,089","€ 1,472,089",D,23,Italy,Leicester
Facundo Buonanotte,"€ 28,309","€ 1,472,089","€ 1,472,089",F,20,Argentina,Leicester
Victor Kristiansen,"€ 28,309","€ 1,472,089","€ 1,472,089",D,22,Denmark,Leicester
Rico Lewis,"€ 28,309","€ 1,472,089","€ 1,472,089",D,20,England,Manchester City
Kobbie Mainoo,"€ 28,309","€ 1,472,089","€ 1,472,089",M,19,England,Manchester United
Anthony Elanga,"€ 28,309","€ 1,472,089","€ 1,472,089",F,22,Sweden,Nottingham Forest
Jota Silva,"€ 28,309","€ 1,472,089","€ 1,472,089",F,25,Portugal,Nottingham Forest
Will Smallbone,"€ 28,309","€ 1,472,089","€ 1,472,089",M,24,Ireland,Southampton
Antonín Kinský,"€ 28,309","€ 1,472,089","€ 1,472,089",K,21,Czech Republic,Tottenham
Hugo Bueno,"€ 28,309","€ 1,472,089","€ 1,472,089",D,22,Spain,Wolverhampton
Rodrigo Gomes,"€ 28,309","€ 1,472,089","€ 1,472,089",M,21,Portugal,Wolverhampton
Daniel Iversen,"€ 22,648","€ 1,177,671","€ 1,177,671",K,27,Denmark,Leicester
Jean-Clair Todibo,"€ 22,648","€ 1,177,671","€ 1,177,671",D,25,France,West Ham
William Osula,"€ 22,648","€ 1,177,671","€ 1,177,671",F,21,Denmark,Newcastle
Carlos Forbs,"€ 22,648","€ 1,177,671","€ 1,177,671",F,20,Portugal,Wolverhampton
Mason Holgate,"€ 22,648","€ 1,177,671","€ 1,177,671",D,28,Jamaica,Everton
Mateus Fernandes,"€ 22,648","€ 1,177,671","€ 1,177,671",M,20,Portugal,Southampton
Sepp van den Berg,"€ 22,648","€ 1,177,671","€ 1,177,671",D,23,Netherlands,Brentford
Ross Stewart,"€ 22,648","€ 1,177,671","€ 1,177,671",F,28,Scotland,Southampton
Carlos Alcaraz,"€ 22,648","€ 1,177,671","€ 1,177,671",M,22,Argentina,Everton
Nathaniel Phillips,"€ 22,648","€ 1,177,671","€ 1,177,671",D,27,England,Liverpool
Kyle Walker-Peters,"€ 22,648","€ 1,177,671","€ 1,177,671",D,27,England,Southampton
Christian Walton,"€ 22,648","€ 1,177,671","€ 1,177,671",K,29,England,Ipswich Town
Liam Delap,"€ 22,648","€ 1,177,671","€ 1,177,671",F,21,England,Ipswich Town
Nayef Aguerd,"€ 22,648","€ 1,177,671","€ 1,177,671",D,28,Morocco,West Ham
Ibrahim Osman,"€ 22,648","€ 1,177,671","€ 1,177,671",F,20,Ghana,Brighton
Jason Steele,"€ 22,648","€ 1,177,671","€ 1,177,671",K,34,England,Brighton
Daniel Bentley,"€ 22,648","€ 1,177,671","€ 1,177,671",K,31,England,Wolverhampton
Bashir Humphreys,"€ 22,648","€ 1,177,671","€ 1,177,671",D,21,England,Chelsea
Tim Iroegbunam,"€ 22,648","€ 1,177,671","€ 1,177,671",M,21,England,Everton
Deivid Washington,"€ 22,648","€ 1,177,671","€ 1,177,671",F,19,Brazil,Chelsea
Albert Grønbaek,"€ 20,383","€ 1,059,904","€ 1,059,904",M,23,Denmark,Southampton
Isaac Hayden,"€ 17,552","€ 912,695","€ 912,695",M,29,Jamaica,Newcastle
Christian McFarlane,"€ 16,986","€ 883,253","€ 883,253",D,18,England,Manchester City
Armel Bella-Kotchap,"€ 16,986","€ 883,253","€ 883,253",D,23,Germany,Southampton
Curtis Jones,"€ 16,986","€ 883,253","€ 883,253",M,24,England,Liverpool
Tom McGill,"€ 16,986","€ 883,253","€ 883,253",K,25,Canada,Brighton
Ryan Manning,"€ 16,986","€ 883,253","€ 883,253",D,28,Ireland,Southampton
Andrey Santos,"€ 16,986","€ 883,253","€ 883,253",M,20,Brazil,Chelsea
Chido Obi,"€ 16,986","€ 883,253","€ 883,253",F,17,Denmark,Manchester United
Julio Enciso,"€ 16,986","€ 883,253","€ 883,253",F,21,Paraguay,Ipswich Town
Luke Cundle,"€ 16,986","€ 883,253","€ 883,253",M,22,England,Wolverhampton
Eiran Cashin,"€ 16,986","€ 883,253","€ 883,253",D,23,Ireland,Brighton
Ki-Jana Hoever,"€ 16,986","€ 883,253","€ 883,253",D,23,Netherlands,Wolverhampton
Jørgen Strand Larsen,"€ 16,986","€ 883,253","€ 883,253",F,24,Norway,Wolverhampton
Lewis O'Brien,"€ 16,986","€ 883,253","€ 883,253",M,26,England,Nottingham Forest
Andy Irving,"€ 16,986","€ 883,253","€ 883,253",M,24,Scotland,West Ham
James McAtee,"€ 16,986","€ 883,253","€ 883,253",F,22,England,Manchester City
Enes Ünal,"€ 16,986","€ 883,253","€ 883,253",F,27,Turkey,Bournemouth
Rob Holding,"€ 16,986","€ 883,253","€ 883,253",D,29,England,Crystal Palace
Romain Esse,"€ 16,986","€ 883,253","€ 883,253",F,19,England,Crystal Palace
Wes Foderingham,"€ 16,986","€ 883,253","€ 883,253",K,34,England,West Ham
Stefan Bajcetic,"€ 16,986","€ 883,253","€ 883,253",M,20,Spain,Liverpool
Ronnie Edwards,"€ 16,986","€ 883,253","€ 883,253",D,21,England,Southampton
Pedro Lima,"€ 16,986","€ 883,253","€ 883,253",D,18,Brazil,Wolverhampton
Woyo Coulibaly,"€ 16,986","€ 883,253","€ 883,253",D,25,France,Leicester
Nathan Wood,"€ 16,986","€ 883,253","€ 883,253",D,22,England,Southampton
Julio Enciso,"€ 16,986","€ 883,253","€ 883,253",F,20,Paraguay,Brighton
Andrés García,"€ 16,986","€ 883,253","€ 883,253",D,21,Spain,Aston Villa
Brandon Austin,"€ 16,986","€ 883,253","€ 883,253",K,26,England,Tottenham
Nasser Djiga,"€ 16,986","€ 883,253","€ 883,253",D,22,Burkina Faso,Wolverhampton
Enzo Barrenechea,"€ 16,986","€ 883,253","€ 883,253",M,23,Argentina,Aston Villa
Yunus Emre Konak,"€ 16,986","€ 883,253","€ 883,253",M,19,Turkey,Brentford
Luke Thomas,"€ 16,986","€ 883,253","€ 883,253",D,23,England,Leicester
Kasey McAteer,"€ 16,986","€ 883,253","€ 883,253",F,23,Ireland,Leicester
Welington,"€ 16,986","€ 883,253","€ 883,253",D,23,Brazil,Southampton
Juan Larios,"€ 16,986","€ 883,253","€ 883,253",D,21,Spain,Southampton
Yegor Yarmolyuk,"€ 16,986","€ 883,253","€ 883,253",F,21,Ukraine,Brentford
Hamza Choudhury,"€ 16,986","€ 883,253","€ 883,253",M,27,Bangladesh,Leicester
Max Aarons,"€ 16,986","€ 883,253","€ 883,253",D,25,England,Bournemouth
Carlos Miguel,"€ 16,986","€ 883,253","€ 883,253",K,26,Brazil,Nottingham Forest
Julio Soler,"€ 16,986","€ 883,253","€ 883,253",D,19,Argentina,Bournemouth
Manor Solomon,"€ 16,986","€ 883,253","€ 883,253",F,25,Israel,Tottenham
Hamed Junior Traoré,"€ 16,986","€ 883,253","€ 883,253",F,24,Cote d'Ivoire,Bournemouth
Claudio Echeverri,"€ 16,986","€ 883,253","€ 883,253",F,19,Argentina,Manchester City
Conor Townsend,"€ 16,986","€ 883,253","€ 883,253",D,31,England,Ipswich Town
Conor Chaplin,"€ 16,986","€ 883,253","€ 883,253",F,27,England,Ipswich Town
Carlos Baleba,"€ 14,155","€ 736,044","€ 736,044",M,21,Cameroon,Brighton
Simon Adingra,"€ 14,155","€ 736,044","€ 736,044",F,23,Cote d'Ivoire,Brighton
Enso González,"€ 14,155","€ 736,044","€ 736,044",F,20,Paraguay,Wolverhampton
Luke Woolfenden,"€ 14,155","€ 736,044","€ 736,044",D,26,England,Ipswich Town
Emmanuel Dennis,"€ 13,589","€ 706,603","€ 706,603",F,27,Nigeria,Nottingham Forest
Alex Palmer,"€ 13,589","€ 706,603","€ 706,603",K,28,England,Ipswich Town
Valentín Barco,"€ 11,324","€ 588,835","€ 588,835",D,20,Argentina,Brighton
Caoimhín Kelleher,"€ 11,324","€ 588,835","€ 588,835",K,26,Ireland,Liverpool
Ben Doak,"€ 11,324","€ 588,835","€ 588,835",F,19,Scotland,Liverpool
Stephy Mavididi,"€ 11,324","€ 588,835","€ 588,835",F,26,England,Leicester
Mads Hermansen,"€ 11,324","€ 588,835","€ 588,835",K,24,Denmark,Leicester
Jakub Stolarczyk,"€ 11,324","€ 588,835","€ 588,835",K,24,Poland,Leicester
Issahaku Fatawu,"€ 11,324","€ 588,835","€ 588,835",F,20,Ghana,Leicester
Wes Burns,"€ 11,324","€ 588,835","€ 588,835",F,30,Wales,Ipswich Town
Massimo Luongo,"€ 11,324","€ 588,835","€ 588,835",M,32,Australia,Ipswich Town
Jack Taylor,"€ 11,324","€ 588,835","€ 588,835",M,26,Ireland,Ipswich Town
Kortney Hause,"€ 11,324","€ 588,835","€ 588,835",D,29,England,Aston Villa
Steven Benda,"€ 11,324","€ 588,835","€ 588,835",K,26,Germany,Fulham
Kosta Nedeljkovic,"€ 11,324","€ 588,835","€ 588,835",D,19,Serbia,Aston Villa
Chris Mepham,"€ 11,324","€ 588,835","€ 588,835",D,27,Wales,Bournemouth
Naouirou Ahamada,"€ 11,324","€ 588,835","€ 588,835",M,22,France,Crystal Palace
Mark Gillespie,"€ 11,324","€ 588,835","€ 588,835",K,32,England,Newcastle
Malcolm Ebiowei,"€ 11,324","€ 588,835","€ 588,835",F,21,England,Crystal Palace
Andrew Omobamidele,"€ 11,324","€ 588,835","€ 588,835",D,22,Ireland,Nottingham Forest
Hákon Rafn Valdimarsson,"€ 11,324","€ 588,835","€ 588,835",K,23,Iceland,Brentford
Jayden Meghoma,"€ 11,324","€ 588,835","€ 588,835",D,18,England,Brentford
Omar Richards,"€ 11,324","€ 588,835","€ 588,835",D,26,England,Nottingham Forest
Wayne Hennessey,"€ 11,324","€ 588,835","€ 588,835",K,38,Wales,Nottingham Forest
Kevin Schade,"€ 11,324","€ 588,835","€ 588,835",F,23,Germany,Brentford
Mads Roerslev Rasmussen,"€ 11,324","€ 588,835","€ 588,835",D,25,Denmark,Brentford
James Bree,"€ 11,324","€ 588,835","€ 588,835",D,27,England,Southampton
Michael Olakigbe,"€ 11,324","€ 588,835","€ 588,835",F,20,England,Brentford
Joe Lumley,"€ 11,324","€ 588,835","€ 588,835",K,29,England,Southampton
Tom King,"€ 11,324","€ 588,835","€ 588,835",K,29,Wales,Wolverhampton
Jakub Moder,"€ 11,324","€ 588,835","€ 588,835",M,25,Poland,Brighton
Tommy Doyle,"€ 11,324","€ 588,835","€ 588,835",M,23,England,Wolverhampton
Jack Hinshelwood,"€ 11,324","€ 588,835","€ 588,835",M,19,England,Brighton
Ethan Wheatley,"€ 10,191","€ 529,952","€ 529,952",F,19,England,Manchester United
Eric da Silva Moreira,"€ 9,059","€ 471,068","€ 471,068",M,18,Germany,Nottingham Forest
Yasin Ayari,"€ 9,059","€ 471,068","€ 471,068",M,21,Sweden,Brighton
Tyler Morton,"€ 9,059","€ 471,068","€ 471,068",M,22,England,Liverpool
Lamare Bogarde,"€ 9,059","€ 471,068","€ 471,068",M,21,Netherlands,Aston Villa
John Ruddy,"€ 9,059","€ 471,068","€ 471,068",K,38,England,Newcastle
Joachim Kayi Sanda,"€ 9,059","€ 471,068","€ 471,068",D,18,France,Southampton
Cameron Burgess,"€ 9,059","€ 471,068","€ 471,068",D,29,Australia,Ipswich Town
Bastien Meupiyou,"€ 9,059","€ 471,068","€ 471,068",D,18,France,Wolverhampton
Michael Golding,"€ 9,059","€ 471,068","€ 471,068",M,18,England,Leicester
Tommi O'Reilly,"€ 8,493","€ 441,627","€ 441,627",F,21,England,Aston Villa
Rodrigo Muniz,"€ 8,493","€ 441,627","€ 441,627",F,23,Brazil,Fulham
Jaidon Anthony,"€ 8,493","€ 441,627","€ 441,627",F,25,England,Bournemouth
Cesare Casadei,"€ 8,493","€ 441,627","€ 441,627",M,21,Italy,Chelsea
Kuryu Matsuki,"€ 8,493","€ 441,627","€ 441,627",F,21,Japan,Southampton
