,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Pedro Neto,"€ 56,619","€ 2,944,177","€ 2,944,177",F,22,Portugal,Wolverhampton
David Brooks,"€ 56,619","€ 2,944,177","€ 2,944,177",F,25,Wales,Bournemouth
Dominic Solanke,"€ 56,619","€ 2,944,177","€ 2,944,177",F,25,England,Bournemouth
Alejandro Garnacho,"€ 56,619","€ 2,944,177","€ 2,944,177",F,18,Argentina,Manchester United
Marc Guéhi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,22,England,Crystal Palace
Nayef Aguerd,"€ 56,619","€ 2,944,177","€ 2,944,177",D,26,Morocco,West Ham
Jeffrey Schlupp,"€ 56,619","€ 2,944,177","€ 2,944,177",M,30,Ghana,Crystal Palace
Jean-Philippe Mateta,"€ 56,619","€ 2,944,177","€ 2,944,177",F,25,France,Crystal Palace
James Tomkins,"€ 56,619","€ 2,944,177","€ 2,944,177",D,33,England,Crystal Palace
Albert Sambi Lokonga,"€ 56,619","€ 2,944,177","€ 2,944,177",M,23,Belgium,Crystal Palace
Trevoh Chalobah,"€ 56,619","€ 2,944,177","€ 2,944,177",D,23,England,Chelsea
Noni Madueke,"€ 56,619","€ 2,944,177","€ 2,944,177",F,20,England,Chelsea
Marcos Senesi,"€ 56,619","€ 2,944,177","€ 2,944,177",D,25,Argentina,Bournemouth
Neco Williams,"€ 56,619","€ 2,944,177","€ 2,944,177",D,21,Wales,Nottingham Forest
Conor Gallagher,"€ 56,619","€ 2,944,177","€ 2,944,177",M,22,England,Chelsea
Serge Aurier,"€ 56,619","€ 2,944,177","€ 2,944,177",D,30,Cote d'Ivoire,Nottingham Forest
Taiwo Awoniyi,"€ 56,619","€ 2,944,177","€ 2,944,177",F,25,Nigeria,Nottingham Forest
Solly March,"€ 56,619","€ 2,944,177","€ 2,944,177",M,28,England,Brighton
Pervis Estupiñán,"€ 56,619","€ 2,944,177","€ 2,944,177",D,25,Ecuador,Brighton
Alex McCarthy,"€ 56,619","€ 2,944,177","€ 2,944,177",K,33,England,Southampton
Neto,"€ 56,619","€ 2,944,177","€ 2,944,177",K,33,Brazil,Bournemouth
Ashley Young,"€ 56,619","€ 2,944,177","€ 2,944,177",D,37,England,Aston Villa
Albert Sambi Lokonga,"€ 56,619","€ 2,944,177","€ 2,944,177",M,22,Belgium,Arsenal
Ryan Christie,"€ 56,619","€ 2,944,177","€ 2,944,177",F,27,Scotland,Bournemouth
Alexis Mac Allister,"€ 56,619","€ 2,944,177","€ 2,944,177",M,24,Argentina,Brighton
Tetê,"€ 56,619","€ 2,944,177","€ 2,944,177",F,22,Brazil,Leicester
Mathias Jensen,"€ 56,619","€ 2,944,177","€ 2,944,177",M,27,Denmark,Brentford
Axel Tuanzebe,"€ 56,619","€ 2,944,177","€ 2,944,177",D,24,England,Manchester United
Aaron Cresswell,"€ 56,619","€ 2,944,177","€ 2,944,177",D,33,England,West Ham
Callum Wilson,"€ 52,089","€ 2,708,643","€ 2,708,643",F,30,England,Newcastle
Jamal Lewis,"€ 50,957","€ 2,649,760","€ 2,649,760",D,25,Northern Ireland,Newcastle
Craig Dawson,"€ 50,957","€ 2,649,760","€ 2,649,760",D,32,England,West Ham
Arnaut Danjuma,"€ 50,957","€ 2,649,760","€ 2,649,760",F,26,Netherlands,Tottenham
Fábio Vieira,"€ 50,957","€ 2,649,760","€ 2,649,760",F,22,Portugal,Arsenal
Marc Albrighton,"€ 50,957","€ 2,649,760","€ 2,649,760",M,32,England,Leicester
Moussa Niakhaté,"€ 50,957","€ 2,649,760","€ 2,649,760",D,26,Senegal,Nottingham Forest
Caglar Söyüncü,"€ 50,957","€ 2,649,760","€ 2,649,760",D,26,Turkey,Leicester
Ayoze Pérez,"€ 50,957","€ 2,649,760","€ 2,649,760",F,29,Spain,Leicester
Jack Stephens,"€ 50,957","€ 2,649,760","€ 2,649,760",D,29,England,Bournemouth
Hamed Junior Traorè,"€ 50,957","€ 2,649,760","€ 2,649,760",F,22,Cote d'Ivoire,Bournemouth
Michael Olise,"€ 50,957","€ 2,649,760","€ 2,649,760",M,21,France,Crystal Palace
Cheikhou Kouyaté,"€ 50,957","€ 2,649,760","€ 2,649,760",M,33,Senegal,Nottingham Forest
Craig Dawson,"€ 50,957","€ 2,649,760","€ 2,649,760",D,32,England,Wolverhampton
André Ayew,"€ 50,957","€ 2,649,760","€ 2,649,760",F,33,Ghana,Nottingham Forest
Stuart Dallas,"€ 50,957","€ 2,649,760","€ 2,649,760",D,31,Northern Ireland,Leeds
Asmir Begovic,"€ 50,957","€ 2,649,760","€ 2,649,760",K,35,Bosnia-Herzegovina,Everton
Morgan Sanson,"€ 50,957","€ 2,649,760","€ 2,649,760",M,28,France,Aston Villa
Mario Lemina,"€ 50,957","€ 2,649,760","€ 2,649,760",M,29,Gabon,Wolverhampton
Keinan Davis,"€ 50,957","€ 2,649,760","€ 2,649,760",F,24,England,Aston Villa
Bryan Mbeumo,"€ 50,957","€ 2,649,760","€ 2,649,760",F,23,Cameroon,Brentford
Diego Llorente,"€ 50,957","€ 2,649,760","€ 2,649,760",D,29,Spain,Leeds
Tom Heaton,"€ 50,957","€ 2,649,760","€ 2,649,760",K,36,England,Manchester United
Brenden Aaronson,"€ 50,957","€ 2,649,760","€ 2,649,760",F,22,United States,Leeds
Matt Ritchie,"€ 50,957","€ 2,649,760","€ 2,649,760",M,33,Scotland,Newcastle
Ryan Fraser,"€ 47,560","€ 2,473,109","€ 2,473,109",F,28,Scotland,Newcastle
Emmanuel Dennis,"€ 45,295","€ 2,355,342","€ 2,355,342",F,25,Nigeria,Nottingham Forest
Emile Smith Rowe,"€ 45,295","€ 2,355,342","€ 2,355,342",F,22,England,Arsenal
Rob Holding,"€ 45,295","€ 2,355,342","€ 2,355,342",D,27,England,Arsenal
William Saliba,"€ 45,295","€ 2,355,342","€ 2,355,342",D,21,France,Arsenal
Frédéric Guilbert,"€ 45,295","€ 2,355,342","€ 2,355,342",D,27,France,Aston Villa
Lewis Cook,"€ 45,295","€ 2,355,342","€ 2,355,342",M,25,England,Bournemouth
Philip Billing,"€ 45,295","€ 2,355,342","€ 2,355,342",M,26,Denmark,Bournemouth
Joël Veltman,"€ 45,295","€ 2,355,342","€ 2,355,342",D,31,Netherlands,Brighton
Leandro Trossard,"€ 45,295","€ 2,355,342","€ 2,355,342",F,27,Belgium,Brighton
Armando Broja,"€ 45,295","€ 2,355,342","€ 2,355,342",F,21,Albania,Chelsea
Gabriel Slonina,"€ 45,295","€ 2,355,342","€ 2,355,342",K,18,United States,Chelsea
Sam Johnstone,"€ 45,295","€ 2,355,342","€ 2,355,342",K,29,England,Crystal Palace
Tyrick Mitchell,"€ 45,295","€ 2,355,342","€ 2,355,342",D,23,England,Crystal Palace
Andros Townsend,"€ 45,295","€ 2,355,342","€ 2,355,342",F,31,England,Everton
Carlos Vinícius,"€ 45,295","€ 2,355,342","€ 2,355,342",F,27,Brazil,Fulham
Kevin Mbabu,"€ 45,295","€ 2,355,342","€ 2,355,342",D,27,Switzerland,Fulham
Shane Duffy,"€ 45,295","€ 2,355,342","€ 2,355,342",D,31,Ireland,Fulham
Tosin Adarabioyo,"€ 45,295","€ 2,355,342","€ 2,355,342",D,25,England,Fulham
Rasmus Kristensen,"€ 45,295","€ 2,355,342","€ 2,355,342",D,25,Denmark,Leeds
Robin Koch,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,Germany,Leeds
Danny Ward,"€ 45,295","€ 2,355,342","€ 2,355,342",K,29,Wales,Leicester
Harry Souttar,"€ 45,295","€ 2,355,342","€ 2,355,342",D,24,Australia,Leicester
Harvey Barnes,"€ 45,295","€ 2,355,342","€ 2,355,342",F,25,England,Leicester
Fábio Carvalho,"€ 45,295","€ 2,355,342","€ 2,355,342",F,20,Portugal,Liverpool
Harvey Elliott,"€ 45,295","€ 2,355,342","€ 2,355,342",F,19,England,Liverpool
Stefan Bajcetic,"€ 45,295","€ 2,355,342","€ 2,355,342",M,18,Spain,Liverpool
Martin Dubravka,"€ 45,295","€ 2,355,342","€ 2,355,342",K,33,Slovakia,Manchester United
Fabian Schär,"€ 45,295","€ 2,355,342","€ 2,355,342",D,31,Switzerland,Newcastle
Jamaal Lascelles,"€ 45,295","€ 2,355,342","€ 2,355,342",D,29,England,Newcastle
Martin Dubravka,"€ 45,295","€ 2,355,342","€ 2,355,342",K,34,Slovakia,Newcastle
Remo Freuler,"€ 45,295","€ 2,355,342","€ 2,355,342",M,30,Switzerland,Nottingham Forest
Willy Boly,"€ 45,295","€ 2,355,342","€ 2,355,342",D,31,Cote d'Ivoire,Nottingham Forest
Duje Caleta-Car,"€ 45,295","€ 2,355,342","€ 2,355,342",D,26,Croatia,Southampton
Kamaldeen Sulemana,"€ 45,295","€ 2,355,342","€ 2,355,342",F,20,Ghana,Southampton
Bryan Gil,"€ 45,295","€ 2,355,342","€ 2,355,342",F,21,Spain,Tottenham
Emerson,"€ 45,295","€ 2,355,342","€ 2,355,342",D,24,Brazil,Tottenham
Oliver Skipp,"€ 45,295","€ 2,355,342","€ 2,355,342",M,22,England,Tottenham
Matías Viña,"€ 43,030","€ 2,237,575","€ 2,237,575",D,25,Uruguay,Bournemouth
Alex Telles,"€ 42,464","€ 2,208,133","€ 2,208,133",D,30,Brazil,Manchester United
Christian Nörgaard,"€ 39,633","€ 2,060,924","€ 2,060,924",M,28,Denmark,Brentford
Adam Smith,"€ 39,633","€ 2,060,924","€ 2,060,924",D,31,England,Bournemouth
Jacob Murphy,"€ 39,633","€ 2,060,924","€ 2,060,924",F,27,England,Newcastle
Chris Mepham,"€ 39,633","€ 2,060,924","€ 2,060,924",D,25,Wales,Bournemouth
Marcus Bettinelli,"€ 39,633","€ 2,060,924","€ 2,060,924",K,30,England,Chelsea
Javier Manquillo,"€ 39,633","€ 2,060,924","€ 2,060,924",D,28,Spain,Newcastle
Bobby Reid,"€ 39,633","€ 2,060,924","€ 2,060,924",F,29,Jamaica,Fulham
Dango Ouattara,"€ 39,633","€ 2,060,924","€ 2,060,924",F,20,Burkina Faso,Bournemouth
Vladimir Coufal,"€ 39,633","€ 2,060,924","€ 2,060,924",D,30,Czech Republic,West Ham
Youri Tielemans,"€ 39,633","€ 2,060,924","€ 2,060,924",M,25,Belgium,Leicester
Junior Stanislas,"€ 39,633","€ 2,060,924","€ 2,060,924",F,33,England,Bournemouth
Keane Lewis-Potter,"€ 39,633","€ 2,060,924","€ 2,060,924",F,21,England,Brentford
Kristoffer Ajer,"€ 39,633","€ 2,060,924","€ 2,060,924",D,24,Norway,Brentford
Jack Butland,"€ 39,633","€ 2,060,924","€ 2,060,924",K,29,England,Manchester United
Rico Henry,"€ 39,633","€ 2,060,924","€ 2,060,924",D,25,England,Brentford
Tariq Lamptey,"€ 39,633","€ 2,060,924","€ 2,060,924",D,22,Ghana,Brighton
Marcus Tavernier,"€ 39,633","€ 2,060,924","€ 2,060,924",M,24,England,Bournemouth
Sasa Kalajdzic,"€ 39,633","€ 2,060,924","€ 2,060,924",F,25,Austria,Wolverhampton
Paul Dummett,"€ 39,633","€ 2,060,924","€ 2,060,924",D,31,Wales,Newcastle
Wout Weghorst,"€ 39,633","€ 2,060,924","€ 2,060,924",F,30,Netherlands,Manchester United
Joel Ward,"€ 39,633","€ 2,060,924","€ 2,060,924",D,33,England,Crystal Palace
Álex Moreno,"€ 39,633","€ 2,060,924","€ 2,060,924",D,29,Spain,Aston Villa
Lyanco,"€ 39,633","€ 2,060,924","€ 2,060,924",D,26,Brazil,Southampton
Nathaniel Chalobah,"€ 39,633","€ 2,060,924","€ 2,060,924",M,27,England,Fulham
Ryan Fredericks,"€ 39,633","€ 2,060,924","€ 2,060,924",D,30,England,Bournemouth
Will Hughes,"€ 39,633","€ 2,060,924","€ 2,060,924",M,27,England,Crystal Palace
Jonny Otto,"€ 39,633","€ 2,060,924","€ 2,060,924",D,28,Spain,Wolverhampton
Darren Randolph,"€ 39,633","€ 2,060,924","€ 2,060,924",K,35,Ireland,West Ham
Jack Butland,"€ 39,633","€ 2,060,924","€ 2,060,924",K,29,England,Crystal Palace
Ainsley Maitland-Niles,"€ 39,633","€ 2,060,924","€ 2,060,924",M,25,England,Southampton
Jordan Ayew,"€ 39,633","€ 2,060,924","€ 2,060,924",F,31,Ghana,Crystal Palace
Maximilian Wöber,"€ 39,633","€ 2,060,924","€ 2,060,924",D,24,Austria,Leeds
Matt Turner,"€ 39,633","€ 2,060,924","€ 2,060,924",K,28,United States,Arsenal
Harry Wilson,"€ 39,633","€ 2,060,924","€ 2,060,924",F,25,Wales,Fulham
Gustavo Scarpa,"€ 33,971","€ 1,766,506","€ 1,766,506",F,29,Brazil,Nottingham Forest
Steve Cook,"€ 33,971","€ 1,766,506","€ 1,766,506",D,31,England,Nottingham Forest
Orel Mangala,"€ 33,971","€ 1,766,506","€ 1,766,506",M,24,Belgium,Nottingham Forest
Omar Richards,"€ 33,971","€ 1,766,506","€ 1,766,506",D,24,England,Nottingham Forest
Eberechi Eze,"€ 33,971","€ 1,766,506","€ 1,766,506",F,24,England,Crystal Palace
David Datro Fofana,"€ 33,971","€ 1,766,506","€ 1,766,506",F,20,Cote d'Ivoire,Chelsea
James Justin,"€ 33,971","€ 1,766,506","€ 1,766,506",D,24,England,Leicester
Marvelous Nakamba,"€ 33,971","€ 1,766,506","€ 1,766,506",M,28,Zimbabwe,Aston Villa
João Gomes,"€ 33,971","€ 1,766,506","€ 1,766,506",M,21,Brazil,Wolverhampton
Hee-chan Hwang,"€ 33,971","€ 1,766,506","€ 1,766,506",F,27,South Korea,Wolverhampton
Illan Meslier,"€ 33,971","€ 1,766,506","€ 1,766,506",K,22,France,Leeds
Jack Stacey,"€ 33,971","€ 1,766,506","€ 1,766,506",D,26,England,Bournemouth
Lloyd Kelly,"€ 33,971","€ 1,766,506","€ 1,766,506",D,24,England,Bournemouth
Tom Cairney,"€ 33,971","€ 1,766,506","€ 1,766,506",M,32,Scotland,Fulham
Tim Ream,"€ 33,971","€ 1,766,506","€ 1,766,506",D,35,United States,Fulham
Neeskens Kebano,"€ 33,971","€ 1,766,506","€ 1,766,506",F,30,Democratic Republic of the Congo,Fulham
Josh Onomah,"€ 33,971","€ 1,766,506","€ 1,766,506",M,25,England,Fulham
Elliot Anderson,"€ 33,971","€ 1,766,506","€ 1,766,506",F,20,Scotland,Newcastle
Ethan Pinnock,"€ 33,971","€ 1,766,506","€ 1,766,506",D,29,Jamaica,Brentford
Ezri Konsa,"€ 33,971","€ 1,766,506","€ 1,766,506",D,25,England,Aston Villa
Harrison Reed,"€ 33,971","€ 1,766,506","€ 1,766,506",M,28,England,Fulham
Scott Carson,"€ 33,971","€ 1,766,506","€ 1,766,506",K,37,England,Manchester City
Máximo Perrone,"€ 33,971","€ 1,766,506","€ 1,766,506",M,20,Argentina,Manchester City
Karl Darlow,"€ 33,971","€ 1,766,506","€ 1,766,506",K,31,England,Newcastle
Alex Smithies,"€ 33,971","€ 1,766,506","€ 1,766,506",K,32,England,Leicester
Mikkel Damsgaard,"€ 33,971","€ 1,766,506","€ 1,766,506",F,22,Denmark,Brentford
James Garner,"€ 33,971","€ 1,766,506","€ 1,766,506",M,21,England,Everton
Vitaly Janelt,"€ 33,971","€ 1,766,506","€ 1,766,506",M,24,Germany,Brentford
Jhon Durán,"€ 33,971","€ 1,766,506","€ 1,766,506",F,19,Colombia,Aston Villa
Sam Greenwood,"€ 33,971","€ 1,766,506","€ 1,766,506",F,21,England,Leeds
Romain Perraud,"€ 33,971","€ 1,766,506","€ 1,766,506",D,25,France,Southampton
Paul Onuachu,"€ 33,971","€ 1,766,506","€ 1,766,506",F,28,Nigeria,Southampton
Brennan Johnson,"€ 33,971","€ 1,766,506","€ 1,766,506",F,21,Wales,Nottingham Forest
Marquinhos,"€ 33,971","€ 1,766,506","€ 1,766,506",F,19,Brazil,Arsenal
Danilo,"€ 33,971","€ 1,766,506","€ 1,766,506",M,21,Brazil,Nottingham Forest
Ché Adams,"€ 33,971","€ 1,766,506","€ 1,766,506",F,26,Scotland,Southampton
Nathan Patterson,"€ 31,707","€ 1,648,739","€ 1,648,739",D,21,Scotland,Everton
Victor Kristiansen,"€ 28,309","€ 1,472,089","€ 1,472,089",D,20,Denmark,Leicester
Mateusz Klich,"€ 28,309","€ 1,472,089","€ 1,472,089",M,32,Poland,Leeds
Luke Ayling,"€ 28,309","€ 1,472,089","€ 1,472,089",D,31,England,Leeds
Liam Cooper,"€ 28,309","€ 1,472,089","€ 1,472,089",D,31,Scotland,Leeds
Antonee Robinson,"€ 28,309","€ 1,472,089","€ 1,472,089",D,25,United States,Fulham
Tom Davies,"€ 28,309","€ 1,472,089","€ 1,472,089",M,24,England,Everton
Rúben Vinagre,"€ 28,309","€ 1,472,089","€ 1,472,089",D,23,Portugal,Everton
Dwight McNeil,"€ 28,309","€ 1,472,089","€ 1,472,089",F,23,England,Everton
Demarai Gray,"€ 28,309","€ 1,472,089","€ 1,472,089",F,26,England,Everton
Nathan Ferguson,"€ 28,309","€ 1,472,089","€ 1,472,089",D,22,England,Crystal Palace
Loïc Badé,"€ 28,309","€ 1,472,089","€ 1,472,089",D,22,France,Nottingham Forest
Ryan Yates,"€ 28,309","€ 1,472,089","€ 1,472,089",M,25,England,Nottingham Forest
Robert Sánchez,"€ 28,309","€ 1,472,089","€ 1,472,089",K,25,Spain,Brighton
Carlos Alcaraz,"€ 28,309","€ 1,472,089","€ 1,472,089",M,20,Argentina,Southampton
Mohammed Salisu,"€ 28,309","€ 1,472,089","€ 1,472,089",D,23,Ghana,Southampton
Roméo Lavia,"€ 28,309","€ 1,472,089","€ 1,472,089",M,19,Belgium,Southampton
Sékou Mara,"€ 28,309","€ 1,472,089","€ 1,472,089",F,20,France,Southampton
Zanka,"€ 28,309","€ 1,472,089","€ 1,472,089",D,33,Denmark,Brentford
Yoane Wissa,"€ 28,309","€ 1,472,089","€ 1,472,089",F,26,Democratic Republic of the Congo,Brentford
Thomas Strakosha,"€ 28,309","€ 1,472,089","€ 1,472,089",K,27,Albania,Brentford
Sergi Canós,"€ 28,309","€ 1,472,089","€ 1,472,089",F,25,Spain,Brentford
Pontus Jansson,"€ 28,309","€ 1,472,089","€ 1,472,089",D,31,Sweden,Brentford
Japhet Tanganga,"€ 28,309","€ 1,472,089","€ 1,472,089",D,23,England,Tottenham
Frank Onyeka,"€ 28,309","€ 1,472,089","€ 1,472,089",M,25,Nigeria,Brentford
David Raya,"€ 28,309","€ 1,472,089","€ 1,472,089",K,27,Spain,Brentford
Flynn Downes,"€ 28,309","€ 1,472,089","€ 1,472,089",M,24,England,West Ham
Jaidon Anthony,"€ 28,309","€ 1,472,089","€ 1,472,089",F,23,England,Bournemouth
Ilya Zabarnyi,"€ 28,309","€ 1,472,089","€ 1,472,089",D,20,Ukraine,Bournemouth
Darren Randolph,"€ 28,309","€ 1,472,089","€ 1,472,089",K,35,Ireland,Bournemouth
José Sá,"€ 28,309","€ 1,472,089","€ 1,472,089",K,30,Portugal,Wolverhampton
Mads Roerslev Rasmussen,"€ 22,648","€ 1,177,671","€ 1,177,671",D,23,Denmark,Brentford
Harry Arter,"€ 22,648","€ 1,177,671","€ 1,177,671",M,33,Ireland,Nottingham Forest
Djed Spence,"€ 22,648","€ 1,177,671","€ 1,177,671",D,22,England,Tottenham
Cameron Archer,"€ 22,648","€ 1,177,671","€ 1,177,671",F,20,England,Aston Villa
Daniel Amartey,"€ 22,648","€ 1,177,671","€ 1,177,671",D,28,Ghana,Leicester
Scott McKenna,"€ 22,648","€ 1,177,671","€ 1,177,671",D,26,Scotland,Nottingham Forest
Daniel Iversen,"€ 22,648","€ 1,177,671","€ 1,177,671",K,25,Denmark,Leicester
Facundo Pellistri,"€ 22,648","€ 1,177,671","€ 1,177,671",F,21,Uruguay,Manchester United
Jeremy Sarmiento,"€ 22,648","€ 1,177,671","€ 1,177,671",F,21,Ecuador,Brighton
Jason Steele,"€ 22,648","€ 1,177,671","€ 1,177,671",K,32,England,Brighton
Léo Bonatini,"€ 22,648","€ 1,177,671","€ 1,177,671",F,28,Brazil,Wolverhampton
Lyle Taylor,"€ 22,648","€ 1,177,671","€ 1,177,671",F,32,Montserrat,Nottingham Forest
Kyle Walker-Peters,"€ 22,648","€ 1,177,671","€ 1,177,671",D,25,England,Southampton
Joel Robles,"€ 22,648","€ 1,177,671","€ 1,177,671",K,32,Spain,Leeds
Antoine Semenyo,"€ 22,648","€ 1,177,671","€ 1,177,671",F,23,Ghana,Bournemouth
Kiernan Dewsbury-Hall,"€ 22,648","€ 1,177,671","€ 1,177,671",M,24,England,Leicester
Adam Forshaw,"€ 22,648","€ 1,177,671","€ 1,177,671",M,31,England,Leeds
Naouirou Ahamada,"€ 22,648","€ 1,177,671","€ 1,177,671",M,20,France,Crystal Palace
Mark Travers,"€ 22,648","€ 1,177,671","€ 1,177,671",K,23,Ireland,Bournemouth
Manor Solomon,"€ 22,648","€ 1,177,671","€ 1,177,671",F,23,Israel,Fulham
Ludwig Augustinsson,"€ 22,648","€ 1,177,671","€ 1,177,671",D,28,Sweden,Aston Villa
Giulian Biancone,"€ 22,648","€ 1,177,671","€ 1,177,671",D,22,France,Nottingham Forest
Wilfried Gnonto,"€ 22,648","€ 1,177,671","€ 1,177,671",F,19,Italy,Leeds
Evan Ferguson,"€ 22,648","€ 1,177,671","€ 1,177,671",F,18,Ireland,Brighton
Deniz Undav,"€ 22,648","€ 1,177,671","€ 1,177,671",F,26,Germany,Brighton
Ben Johnson,"€ 22,648","€ 1,177,671","€ 1,177,671",D,23,England,West Ham
Willy Caballero,"€ 22,648","€ 1,177,671","€ 1,177,671",K,41,Argentina,Southampton
Nathan Collins,"€ 22,648","€ 1,177,671","€ 1,177,671",D,21,Ireland,Wolverhampton
Billy Gilmour,"€ 22,648","€ 1,177,671","€ 1,177,671",M,21,Scotland,Brighton
Jed Steer,"€ 22,648","€ 1,177,671","€ 1,177,671",K,30,England,Aston Villa
Ivan Toney,"€ 22,648","€ 1,177,671","€ 1,177,671",F,26,England,Brentford
Joshua Da Silva,"€ 22,648","€ 1,177,671","€ 1,177,671",M,24,England,Brentford
Cole Palmer,"€ 22,648","€ 1,177,671","€ 1,177,671",F,20,England,Manchester City
Gavin Bazunu,"€ 22,648","€ 1,177,671","€ 1,177,671",K,20,Ireland,Southampton
Armel Bella-Kotchap,"€ 16,986","€ 883,253","€ 883,253",D,21,Germany,Southampton
Juan Larios,"€ 16,986","€ 883,253","€ 883,253",D,19,Spain,Southampton
Facundo Buonanotte,"€ 16,986","€ 883,253","€ 883,253",F,18,Argentina,Brighton
Samuel Edozie,"€ 16,986","€ 883,253","€ 883,253",F,20,England,Southampton
Ellis Simms,"€ 16,986","€ 883,253","€ 883,253",F,22,England,Everton
Shandon Baptiste,"€ 16,986","€ 883,253","€ 883,253",M,24,Grenada,Brentford
Saman Ghoddos,"€ 16,986","€ 883,253","€ 883,253",F,29,Iran,Brentford
Curtis Jones,"€ 16,986","€ 883,253","€ 883,253",M,22,England,Liverpool
Marek Rodak,"€ 16,986","€ 883,253","€ 883,253",K,26,Slovakia,Fulham
Kieffer Moore,"€ 16,986","€ 883,253","€ 883,253",F,30,Wales,Bournemouth
Emiliano Marcondes,"€ 16,986","€ 883,253","€ 883,253",F,27,Denmark,Bournemouth
Crysencio Summerville,"€ 16,986","€ 883,253","€ 883,253",F,21,Netherlands,Leeds
Calvin Ramsay,"€ 16,986","€ 883,253","€ 883,253",D,19,Scotland,Liverpool
Joe Gelhardt,"€ 16,986","€ 883,253","€ 883,253",F,20,England,Leeds
Max Kilman,"€ 16,986","€ 883,253","€ 883,253",D,25,England,Wolverhampton
Lewis O'Brien,"€ 16,986","€ 883,253","€ 883,253",M,24,England,Nottingham Forest
Joe Worrall,"€ 16,986","€ 883,253","€ 883,253",D,26,England,Nottingham Forest
Jack Colback,"€ 16,986","€ 883,253","€ 883,253",M,33,England,Nottingham Forest
Sam Surridge,"€ 16,986","€ 883,253","€ 883,253",F,24,England,Nottingham Forest
Harry Toffolo,"€ 16,986","€ 883,253","€ 883,253",D,27,England,Nottingham Forest
Wayne Hennessey,"€ 16,986","€ 883,253","€ 883,253",K,36,Wales,Nottingham Forest
Jamal Lowe,"€ 13,589","€ 706,603","€ 706,603",F,28,Jamaica,Bournemouth
Matija Sarkic,"€ 11,324","€ 588,835","€ 588,835",K,25,Montenegro,Wolverhampton
Anthony Gordon,"€ 11,324","€ 588,835","€ 588,835",F,21,England,Everton
Cafú,"€ 11,324","€ 588,835","€ 588,835",M,29,Portugal,Nottingham Forest
Loïc Mbe Soh,"€ 11,324","€ 588,835","€ 588,835",D,21,France,Nottingham Forest
Kaoru Mitoma,"€ 11,324","€ 588,835","€ 588,835",F,25,Japan,Brighton
Toti Gomes,"€ 11,324","€ 588,835","€ 588,835",D,24,Portugal,Wolverhampton
Kristoffer Klaesson,"€ 11,324","€ 588,835","€ 588,835",K,22,Norway,Leeds
Jakub Moder,"€ 11,324","€ 588,835","€ 588,835",M,23,Poland,Brighton
Harrison Ashby,"€ 11,324","€ 588,835","€ 588,835",D,21,Scotland,Newcastle
Julio Enciso,"€ 11,324","€ 588,835","€ 588,835",F,19,Paraguay,Brighton
Luke Thomas,"€ 11,324","€ 588,835","€ 588,835",D,21,England,Leicester
James Bree,"€ 11,324","€ 588,835","€ 588,835",D,25,England,Southampton
Kevin Schade,"€ 11,324","€ 588,835","€ 588,835",F,21,Germany,Brentford
Chiquinho,"€ 11,324","€ 588,835","€ 588,835",F,22,Portugal,Wolverhampton
Mark Gillespie,"€ 11,324","€ 588,835","€ 588,835",K,31,England,Newcastle
Tom McGill,"€ 11,324","€ 588,835","€ 588,835",K,23,Canada,Brighton
Daniel Bentley,"€ 11,324","€ 588,835","€ 588,835",K,29,England,Wolverhampton
Rhys Williams,"€ 11,324","€ 588,835","€ 588,835",D,21,England,Liverpool
Malcolm Ebiowei,"€ 11,324","€ 588,835","€ 588,835",F,18,England,Crystal Palace
Andy Lonergan,"€ 11,324","€ 588,835","€ 588,835",K,39,England,Everton
Rayan Aït-Nouri,"€ 11,324","€ 588,835","€ 588,835",D,21,Algeria,Wolverhampton
Caoimhín Kelleher,"€ 11,324","€ 588,835","€ 588,835",K,24,Ireland,Liverpool
Loris Karius,"€ 11,324","€ 588,835","€ 588,835",K,29,Germany,Newcastle
Pape Sarr,"€ 11,324","€ 588,835","€ 588,835",M,20,Senegal,Tottenham
Tino Livramento,"€ 9,059","€ 471,068","€ 471,068",D,20,England,Southampton
Jordan Zemura,"€ 9,059","€ 471,068","€ 471,068",D,23,Zimbabwe,Bournemouth
Joe Rothwell,"€ 9,059","€ 471,068","€ 471,068",M,28,England,Bournemouth
Siriki Dembélé,"€ 9,059","€ 471,068","€ 471,068",F,25,Scotland,Bournemouth
Yerson Mosquera,"€ 9,059","€ 471,068","€ 471,068",D,21,Colombia,Wolverhampton
Charlie Goode,"€ 9,059","€ 471,068","€ 471,068",D,27,England,Brentford
Ben Pearson,"€ 9,059","€ 471,068","€ 471,068",M,27,England,Bournemouth
Yasin Ayari,"€ 9,059","€ 471,068","€ 471,068",M,19,Sweden,Brighton
Matthew Longstaff,"€ 8,493","€ 441,627","€ 441,627",M,22,England,Newcastle
Alfie Whiteman,"€ 8,493","€ 441,627","€ 441,627",K,24,England,Tottenham
Brandon Austin,"€ 8,493","€ 441,627","€ 441,627",K,24,England,Tottenham
Tyrese Francois,"€ 7,927","€ 412,185","€ 412,185",M,22,Australia,Fulham
Lewis Hall,"€ 7,927","€ 412,185","€ 412,185",D,18,England,Chelsea
Anthony Elanga,"€ 5,662","€ 294,418","€ 294,418",F,20,Sweden,Manchester United
