,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Dean Henderson,"€ 113,238","€ 5,888,355","€ 5,888,355",K,26,England,Crystal Palace
Eberechi Eze,"€ 113,238","€ 5,888,355","€ 5,888,355",F,25,England,Crystal Palace
Raúl Jiménez,"€ 113,238","€ 5,888,355","€ 5,888,355",F,32,Mexico,Fulham
Emerson,"€ 107,576","€ 5,593,937","€ 5,593,937",D,29,Italy,West Ham
Sven Botman,"€ 101,914","€ 5,299,519","€ 5,299,519",D,24,Netherlands,Newcastle
Odsonne Edouard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,26,France,Crystal Palace
Stefan Ortega Moreno,"€ 101,914","€ 5,299,519","€ 5,299,519",K,31,Germany,Manchester City
Willian,"€ 101,914","€ 5,299,519","€ 5,299,519",F,35,Brazil,Fulham
Aaron Wan-Bissaka,"€ 101,914","€ 5,299,519","€ 5,299,519",D,26,England,Manchester United
Richarlison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,26,Brazil,Tottenham
Tomas Soucek,"€ 101,914","€ 5,299,519","€ 5,299,519",M,28,Czech Republic,West Ham
Donny van de Beek,"€ 101,914","€ 5,299,519","€ 5,299,519",M,26,Netherlands,Manchester United
Benoît Badiashile,"€ 101,914","€ 5,299,519","€ 5,299,519",D,22,France,Chelsea
Jack Harrison,"€ 101,914","€ 5,299,519","€ 5,299,519",F,27,England,Everton
Leandro Trossard,"€ 101,914","€ 5,299,519","€ 5,299,519",F,29,Belgium,Arsenal
Pablo Sarabia,"€ 101,914","€ 5,299,519","€ 5,299,519",F,31,Spain,Wolverhampton
Adam Lallana,"€ 101,914","€ 5,299,519","€ 5,299,519",F,35,England,Brighton
Jurrien Timber,"€ 101,914","€ 5,299,519","€ 5,299,519",D,22,Netherlands,Arsenal
Mohammed Kudus,"€ 101,914","€ 5,299,519","€ 5,299,519",F,23,Ghana,West Ham
David Raya,"€ 96,252","€ 5,005,101","€ 5,005,101",K,28,Spain,Arsenal
Michail Antonio,"€ 96,252","€ 5,005,101","€ 5,005,101",F,33,Jamaica,West Ham
Eric Dier,"€ 96,252","€ 5,005,101","€ 5,005,101",D,29,England,Tottenham
Rasmus Højlund,"€ 96,252","€ 5,005,101","€ 5,005,101",F,20,Denmark,Manchester United
Joe Gomez,"€ 96,252","€ 5,005,101","€ 5,005,101",D,26,England,Liverpool
Diogo Dalot,"€ 96,252","€ 5,005,101","€ 5,005,101",D,24,Portugal,Manchester United
Pedro Porro,"€ 96,252","€ 5,005,101","€ 5,005,101",D,24,Spain,Tottenham
Radu Drăgușin,"€ 96,252","€ 5,005,101","€ 5,005,101",D,21,Romania,Tottenham
Michael Keane,"€ 90,590","€ 4,710,684","€ 4,710,684",D,31,England,Everton
Morgan Gibbs-White,"€ 90,590","€ 4,710,684","€ 4,710,684",F,24,England,Nottingham Forest
Nélson Semedo,"€ 90,590","€ 4,710,684","€ 4,710,684",D,30,Portugal,Wolverhampton
João Palhinha,"€ 90,590","€ 4,710,684","€ 4,710,684",M,28,Portugal,Fulham
Chris Wood,"€ 90,590","€ 4,710,684","€ 4,710,684",F,32,New Zealand,Nottingham Forest
Ben Davies,"€ 90,590","€ 4,710,684","€ 4,710,684",D,30,Wales,Tottenham
Harvey Barnes,"€ 90,590","€ 4,710,684","€ 4,710,684",F,26,England,Newcastle
Cole Palmer,"€ 90,590","€ 4,710,684","€ 4,710,684",F,21,England,Chelsea
Fábio Silva,"€ 90,590","€ 4,710,684","€ 4,710,684",F,21,Portugal,Wolverhampton
Joachim Andersen,"€ 90,590","€ 4,710,684","€ 4,710,684",D,27,Denmark,Crystal Palace
Brennan Johnson,"€ 90,590","€ 4,710,684","€ 4,710,684",F,22,Wales,Tottenham
Axel Disasi,"€ 90,590","€ 4,710,684","€ 4,710,684",D,25,France,Chelsea
Matty Cash,"€ 90,590","€ 4,710,684","€ 4,710,684",D,26,Poland,Aston Villa
Felipe,"€ 90,590","€ 4,710,684","€ 4,710,684",D,34,Brazil,Nottingham Forest
Thilo Kehrer,"€ 90,590","€ 4,710,684","€ 4,710,684",D,26,Germany,West Ham
Toti Gomes,"€ 90,590","€ 4,710,684","€ 4,710,684",D,25,Portugal,Wolverhampton
Callum Hudson-Odoi,"€ 90,590","€ 4,710,684","€ 4,710,684",F,23,England,Nottingham Forest
Justin Kluivert,"€ 90,590","€ 4,710,684","€ 4,710,684",F,24,Netherlands,Bournemouth
Kaoru Mitoma,"€ 90,590","€ 4,710,684","€ 4,710,684",F,26,Japan,Brighton
Lewis Dunk,"€ 90,590","€ 4,710,684","€ 4,710,684",D,32,England,Brighton
Alex Iwobi,"€ 90,590","€ 4,710,684","€ 4,710,684",F,27,Nigeria,Fulham
Joe Willock,"€ 90,590","€ 4,710,684","€ 4,710,684",M,24,England,Newcastle
Bertrand Traoré,"€ 88,195","€ 4,586,122","€ 4,586,122",F,27,Burkina Faso,Aston Villa
Ben Godfrey,"€ 84,928","€ 4,416,266","€ 4,416,266",D,26,England,Everton
Destiny Udogie,"€ 84,928","€ 4,416,266","€ 4,416,266",D,21,Italy,Tottenham
Fraser Forster,"€ 84,928","€ 4,416,266","€ 4,416,266",K,35,England,Tottenham
Tyrell Malacia,"€ 84,928","€ 4,416,266","€ 4,416,266",D,24,Netherlands,Manchester United
Guglielmo Vicario,"€ 84,928","€ 4,416,266","€ 4,416,266",K,27,Italy,Tottenham
Rodrigo Bentancur,"€ 84,928","€ 4,416,266","€ 4,416,266",M,26,Uruguay,Tottenham
Cédric Soares,"€ 84,928","€ 4,416,266","€ 4,416,266",D,32,Portugal,Arsenal
Konstantinos Tsimikas,"€ 84,928","€ 4,416,266","€ 4,416,266",D,27,Greece,Liverpool
Ezri Konsa,"€ 84,928","€ 4,416,266","€ 4,416,266",D,26,England,Aston Villa
Emiliano Buendía,"€ 84,928","€ 4,416,266","€ 4,416,266",F,27,Argentina,Aston Villa
Douglas Luiz,"€ 84,928","€ 4,416,266","€ 4,416,266",M,25,Brazil,Aston Villa
Jean-Ricner Bellegarde,"€ 84,928","€ 4,416,266","€ 4,416,266",M,25,France,Wolverhampton
Ibrahim Sangaré,"€ 84,928","€ 4,416,266","€ 4,416,266",M,26,Cote d'Ivoire,Nottingham Forest
Micky van de Ven,"€ 79,266","€ 4,121,848","€ 4,121,848",D,22,Netherlands,Tottenham
Jacob Ramsey,"€ 79,266","€ 4,121,848","€ 4,121,848",M,22,England,Aston Villa
Pape Sarr,"€ 79,266","€ 4,121,848","€ 4,121,848",M,21,Senegal,Tottenham
Giovani Lo Celso,"€ 79,266","€ 4,121,848","€ 4,121,848",F,27,Argentina,Tottenham
Dominic Solanke,"€ 79,266","€ 4,121,848","€ 4,121,848",F,26,England,Bournemouth
Mason Holgate,"€ 79,266","€ 4,121,848","€ 4,121,848",D,27,England,Sheffield United
Jefferson Lerma,"€ 79,266","€ 4,121,848","€ 4,121,848",M,29,Colombia,Crystal Palace
Ibrahima Konaté,"€ 79,266","€ 4,121,848","€ 4,121,848",D,24,France,Liverpool
Cheick Doucouré,"€ 79,266","€ 4,121,848","€ 4,121,848",M,24,Mali,Crystal Palace
Issa Diop,"€ 79,266","€ 4,121,848","€ 4,121,848",D,27,France,Fulham
Angelo Ogbonna,"€ 79,266","€ 4,121,848","€ 4,121,848",D,35,Italy,West Ham
Aaron Hickey,"€ 79,266","€ 4,121,848","€ 4,121,848",D,21,Scotland,Brentford
