,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,
Jordan Clark,"€ 5,662","€ 294,418","€ 294,418",M,30,England,Luton Town
Tim Iroegbunam,"€ 5,662","€ 294,418","€ 294,418",M,20,England,Aston Villa
Lewis Miley,"€ 5,662","€ 294,418","€ 294,418",M,17,England,Newcastle
Shola Shoretire,"€ 5,662","€ 294,418","€ 294,418",F,20,England,Manchester United
Joseph Anang,"€ 4,530","€ 235,534","€ 235,534",K,23,England,West Ham
Daniel Jebbison,"€ 4,530","€ 235,534","€ 235,534",F,20,Canada,Sheffield United
Rhys Norrington-Davies,"€ 4,530","€ 235,534","€ 235,534",D,24,Wales,Sheffield United
Enock Agyei,"€ 4,530","€ 235,534","€ 235,534",F,19,Belgium,Burnley
Divin Mubama,"€ 4,530","€ 235,534","€ 235,534",F,19,England,West Ham
Alex Mighten,"€ 3,920","€ 203,828","€ 203,828",F,21,England,Nottingham Forest
Denis Franchi,"€ 3,397","€ 176,651","€ 176,651",K,20,Italy,Burnley
Jordan Beyer,"€ 3,397","€ 176,651","€ 176,651",D,23,Germany,Burnley
James Hill,"€ 3,397","€ 176,651","€ 176,651",D,22,England,Bournemouth
Ryan Trevitt,"€ 2,831","€ 147,209","€ 147,209",M,20,England,Brentford
Elliot Thorpe,"€ 2,831","€ 147,209","€ 147,209",M,23,Wales,Luton Town
Gavin Kilkenny,"€ 1,699","€ 88,325","€ 88,325",M,23,Ireland,Bournemouth
Louie Marsh,"€ 1,132","€ 58,884","€ 58,884",F,20,England,Sheffield United
Jordan Amissah,"€ 1,132","€ 58,884","€ 58,884",K,22,Ghana,Sheffield United
João Cancelo,€ 0,€ 0,€ 0,D,29,Portugal,Manchester City
Kieran Tierney,€ 0,€ 0,€ 0,D,26,Scotland,Arsenal
Máximo Perrone,€ 0,€ 0,€ 0,M,20,Argentina,Manchester City
Hamed Junior Traorè,€ 0,€ 0,€ 0,F,23,Cote d'Ivoire,Bournemouth
Jonjo Shelvey,€ 0,€ 0,€ 0,M,31,England,Nottingham Forest
Joe Worrall,€ 0,€ 0,€ 0,D,27,England,Nottingham Forest
Ui-jo Hwang,€ 0,€ 0,€ 0,F,31,South Korea,Nottingham Forest
Sandro Tonali,€ 0,€ 0,€ 0,M,23,Italy,Newcastle
Kalvin Phillips,€ 0,€ 0,€ 0,M,28,England,Manchester City
Andrey Santos,€ 0,€ 0,€ 0,M,19,Brazil,Chelsea
Tanguy Ndombélé,€ 0,€ 0,€ 0,M,26,France,Tottenham
Kacper Kozlowski,€ 0,€ 0,€ 0,M,19,Poland,Brighton
Lucas Bergström,€ 0,€ 0,€ 0,K,21,Finland,Chelsea
Sergio Reguilón,€ 0,€ 0,€ 0,D,27,Spain,Tottenham
Leander Dendoncker,€ 0,€ 0,€ 0,M,28,Belgium,Aston Villa
Philippe Coutinho,€ 0,€ 0,€ 0,F,31,Brazil,Aston Villa
Ian Maatsen,€ 0,€ 0,€ 0,D,21,Netherlands,Chelsea
Hannibal,€ 0,€ 0,€ 0,F,20,Tunisia,Manchester United
Hakim Ziyech,€ 0,€ 0,€ 0,F,30,Morocco,Chelsea
Romelu Lukaku,€ 0,€ 0,€ 0,F,30,Belgium,Chelsea
Emmanuel Dennis,€ 0,€ 0,€ 0,F,25,Nigeria,Nottingham Forest
